"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"1152","48","2026-06-01T18:30:00.000Z","2026-06-02T01:53:12.829Z","2026-06-02T14:30:34.814Z","OUT","true","2026-06-02T01:53:12.836Z","2026-06-02T01:53:12.829Z","2026-06-02T05:30:31.704Z","JNR","JNR","2026-06-02T10:04:00.319Z","2026-06-02T14:30:34.814Z","JNR","JNR","","","","","","","","","","","","","",""
"1530","72","2026-06-01T18:30:00.000Z","2026-06-02T10:35:00.729Z","2026-06-02T14:33:27.965Z","OUT","true","2026-06-02T10:35:00.725Z","2026-06-02T10:35:00.729Z","2026-06-02T14:33:27.965Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1533","61","2026-06-01T18:30:00.000Z","2026-06-02T10:40:33.133Z","2026-06-02T15:29:55.730Z","OUT","true","2026-06-02T10:40:33.138Z","2026-06-02T10:40:33.133Z","2026-06-02T15:29:55.730Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1528","60","2026-06-01T18:30:00.000Z","2026-06-02T10:04:33.491Z","2026-06-02T15:29:13.684Z","OUT","true","2026-06-02T10:04:33.496Z","2026-06-02T10:04:33.491Z","2026-06-02T15:29:13.684Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1145","58","2026-06-01T18:30:00.000Z","2026-06-02T01:34:40.234Z","2026-06-02T15:44:33.361Z","OUT","true","2026-06-02T01:34:40.239Z","2026-06-02T01:34:40.234Z","2026-06-02T03:38:00.083Z","JNR","JNR","2026-06-02T05:09:04.398Z","2026-06-02T08:11:01.580Z","JNR","JNR","2026-06-02T10:38:40.709Z","2026-06-02T15:44:33.361Z","JNR","JNR","","","","","","","","","",""
"1571","74","2026-06-02T18:30:00.000Z","2026-06-03T07:59:06.121Z","2026-06-03T15:30:24.780Z","OUT","true","2026-06-03T07:59:06.128Z","2026-06-03T07:59:06.121Z","2026-06-03T15:30:24.780Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1562","59","2026-06-02T18:30:00.000Z","2026-06-03T04:04:08.835Z","2026-06-03T15:33:11.744Z","OUT","false","2026-06-03T04:04:08.840Z","2026-06-03T04:04:08.835Z","2026-06-03T15:33:11.744Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1545","57","2026-06-02T18:30:00.000Z","2026-06-03T01:40:34.378Z","2026-06-03T15:34:10.479Z","OUT","true","2026-06-03T01:40:34.383Z","2026-06-03T01:40:34.378Z","2026-06-03T04:04:41.763Z","HNM","HNM","2026-06-03T11:08:39.833Z","2026-06-03T15:34:10.479Z","HNM","HNM","","","","","","","","","","","","","",""
"1546","62","2026-06-02T18:30:00.000Z","2026-06-03T01:48:52.962Z","2026-06-03T10:33:06.170Z","OUT","true","2026-06-03T01:48:52.969Z","2026-06-03T01:48:52.962Z","2026-06-03T10:33:06.170Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1536","58","2026-06-02T18:30:00.000Z","2026-06-03T01:21:38.739Z","2026-06-03T15:45:31.996Z","OUT","false","2026-06-03T01:21:38.734Z","2026-06-03T01:21:38.739Z","2026-06-03T03:50:24.114Z","JNR","JNR","2026-06-03T05:25:36.929Z","2026-06-03T08:34:00.817Z","JNR","JNR","2026-06-03T10:32:55.593Z","2026-06-03T15:45:31.996Z","JNR","JNR","","","","","","","","","",""
